id,edad,ingreso,educacion,experiencia,satisfaccion
290,44.0,63538.0,3,8.0,7.0
291,24.0,34675.0,2,3.0,9.0
292,47.0,64739.0,2,12.0,5.0
293,40.0,33502.0,4,13.0,6.0
294,36.0,70984.0,3,7.0,9.0
295,26.0,31272.0,4,10.0,4.0
296,46.0,47074.0,2,15.0,10.0
297,41.0,62685.0,3,12.0,7.0
298,31.0,34425.0,4,15.0,3.0
299,42.0,21409.0,1,9.0,6.0
300,23.0,42205.0,4,5.0,5.0
301,20.0,42836.0,2,3.0,2.0
302,34.0,215430.0,4,4.0,2.0
303,36.0,51845.0,3,14.0,5.0
304,40.0,48817.0,3,13.0,3.0
305,36.0,253705.0,3,8.0,4.0
306,50.0,36770.0,5,11.0,
307,20.0,43054.0,3,0.0,8.0
308,42.0,56147.0,1,11.0,5.0
309,38.0,35605.0,3,12.0,6.0
310,51.0,32485.0,3,3.0,2.0
311,36.0,48934.0,3,13.0,1.0
312,39.0,83318.0,3,3.0,5.0
313,56.0,82382.0,4,14.0,8.0
314,45.0,14172.0,1,11.0,7.0
315,42.0,42835.0,3,16.0,7.0
316,30.0,47352.0,4,16.0,8.0
317,37.0,47593.0,4,20.0,2.0
318,18.0,48717.0,2,7.0,1.0
319,25.0,40376.0,4,16.0,9.0
320,43.0,46463.0,3,8.0,6.0
321,18.0,32026.0,4,10.0,5.0
322,,25241.0,2,9.0,2.0
323,35.0,32758.0,5,4.0,5.0
324,40.0,246955.0,4,11.0,4.0
325,18.0,59148.0,2,19.0,3.0
326,18.0,84895.0,4,8.0,8.0
327,48.0,39452.0,2,18.0,1.0
328,36.0,64301.0,3,0.0,5.0
329,40.0,48735.0,3,21.0,6.0
330,54.0,44047.0,4,2.0,6.0
331,37.0,59887.0,4,13.0,
332,18.0,47537.0,2,20.0,6.0
333,31.0,38165.0,3,-0.0,7.0
334,45.0,38777.0,3,13.0,9.0
335,,35058.0,5,20.0,5.0
336,31.0,33531.0,3,11.0,8.0
337,28.0,56503.0,2,9.0,8.0
338,53.0,52801.0,5,10.0,2.0
339,50.0,32993.0,3,12.0,5.0
340,,27348.0,2,14.0,9.0
341,58.0,63970.0,4,14.0,6.0
342,26.0,46805.0,3,6.0,7.0
343,59.0,47662.0,3,7.0,9.0
344,19.0,47184.0,2,16.0,4.0
345,48.0,47684.0,3,20.0,9.0
346,28.0,36009.0,4,10.0,9.0
347,33.0,67015.0,2,8.0,7.0
348,46.0,65825.0,4,13.0,5.0
349,26.0,51824.0,5,17.0,7.0
350,39.0,10783.0,3,11.0,3.0
351,39.0,50344.0,2,11.0,1.0
352,49.0,50378.0,1,17.0,8.0
353,51.0,59087.0,2,14.0,7.0
354,58.0,57074.0,4,18.0,6.0
355,39.0,68031.0,2,11.0,5.0
356,,46776.0,1,9.0,3.0
357,28.0,14457.0,4,8.0,2.0
358,26.0,77030.0,4,2.0,
359,19.0,79231.0,3,14.0,4.0
360,32.0,58509.0,3,7.0,2.0
361,37.0,25950.0,1,21.0,8.0
362,35.0,62570.0,3,4.0,1.0
363,42.0,49219.0,1,10.0,3.0
364,19.0,31615.0,5,4.0,3.0
365,56.0,60799.0,2,10.0,5.0
366,39.0,89616.0,5,3.0,3.0
367,48.0,52256.0,4,3.0,5.0
368,39.0,49752.0,3,9.0,10.0
369,24.0,33683.0,5,14.0,6.0
370,31.0,43780.0,3,21.0,7.0
371,18.0,78011.0,5,20.0,3.0
372,38.0,45688.0,4,1.0,
373,,41814.0,2,8.0,7.0
374,50.0,42283.0,5,24.0,2.0
375,18.0,54931.0,3,6.0,6.0
376,34.0,33631.0,4,8.0,5.0
377,31.0,57053.0,2,6.0,2.0
378,20.0,37849.0,3,14.0,9.0
379,18.0,59857.0,1,17.0,9.0
380,21.0,75788.0,3,11.0,7.0
381,47.0,42209.0,2,5.0,4.0
382,47.0,55137.0,1,16.0,7.0
383,18.0,63024.0,1,11.0,4.0
384,33.0,60429.0,2,1.0,7.0
385,41.0,58028.0,4,4.0,6.0
386,39.0,69731.0,4,19.0,3.0
387,18.0,13505.0,3,20.0,2.0
388,28.0,47816.0,2,10.0,8.0
389,18.0,35901.0,1,16.0,10.0
390,47.0,56117.0,3,17.0,9.0
391,66.0,70682.0,3,8.0,2.0
392,34.0,54078.0,3,8.0,4.0
393,18.0,41880.0,4,13.0,
394,45.0,59375.0,1,15.0,6.0
395,54.0,85851.0,2,3.0,3.0
396,53.0,46967.0,4,8.0,6.0
397,37.0,47910.0,1,15.0,6.0
398,41.0,286000.0,3,21.0,6.0
399,36.0,48628.0,2,8.0,8.0
400,44.0,64892.0,4,5.0,6.0
401,46.0,32883.0,2,7.0,10.0
402,26.0,42041.0,4,7.0,7.0
403,28.0,14082.0,3,9.0,8.0
404,31.0,51445.0,5,1.0,5.0
405,32.0,53659.0,2,16.0,2.0
406,37.0,39246.0,2,0.0,6.0
407,48.0,37217.0,3,0.0,7.0
408,19.0,54305.0,2,6.0,2.0
409,46.0,90905.0,3,14.0,2.0
410,33.0,30787.0,2,5.0,7.0
411,18.0,285545.0,3,13.0,6.0
412,30.0,47070.0,4,10.0,4.0
413,32.0,12177.0,3,0.0,2.0
414,42.0,63624.0,5,19.0,9.0
415,42.0,52063.0,4,9.0,9.0
416,35.0,194915.0,3,10.0,4.0
417,25.0,48424.0,4,0.0,2.0
418,46.0,40701.0,2,9.0,8.0
419,27.0,70728.0,5,16.0,1.0
420,21.0,37356.0,1,8.0,6.0
421,27.0,25505.0,3,4.0,4.0
422,29.0,49268.0,2,10.0,4.0
423,,39471.0,4,10.0,1.0
424,30.0,76434.0,4,16.0,6.0
425,31.0,46966.0,5,18.0,2.0
426,44.0,69948.0,3,18.0,4.0
427,45.0,48160.0,4,10.0,2.0
428,41.0,28250.0,5,22.0,5.0
429,31.0,85366.0,3,0.0,7.0
430,27.0,40296.0,2,15.0,4.0
431,,42867.0,4,8.0,
432,33.0,348135.0,5,0.0,3.0
433,45.0,69053.0,1,3.0,7.0
434,32.0,59059.0,3,12.0,7.0
435,21.0,57904.0,4,12.0,5.0
436,,79922.0,4,7.0,6.0
437,56.0,75660.0,4,12.0,
438,24.0,64850.0,4,6.0,3.0
439,20.0,53492.0,2,15.0,5.0
440,31.0,17429.0,3,12.0,3.0
441,56.0,56280.0,5,2.0,5.0
442,36.0,43651.0,2,11.0,5.0
443,,78089.0,1,16.0,2.0
444,18.0,48778.0,2,5.0,10.0
445,18.0,47347.0,4,0.0,1.0
446,35.0,46200.0,1,7.0,8.0
447,30.0,59824.0,4,15.0,6.0
448,40.0,45926.0,5,7.0,4.0
449,22.0,61120.0,2,15.0,8.0
450,48.0,71918.0,4,0.0,5.0
451,51.0,53517.0,3,3.0,3.0
452,18.0,314490.0,2,13.0,9.0
453,38.0,61713.0,4,12.0,4.0
454,32.0,61973.0,2,8.0,1.0
455,52.0,28357.0,5,5.0,7.0
456,38.0,39811.0,3,16.0,8.0
457,46.0,57239.0,4,8.0,7.0
458,34.0,58179.0,4,21.0,3.0
459,39.0,53237.0,2,10.0,5.0
460,61.0,14410.0,1,10.0,6.0
461,60.0,36230.0,4,6.0,5.0
462,18.0,21045.0,3,18.0,8.0
463,40.0,76229.0,2,1.0,1.0
464,38.0,27141.0,2,15.0,3.0
465,22.0,52490.0,4,7.0,10.0
466,26.0,62924.0,3,2.0,1.0
467,37.0,185720.0,2,11.0,4.0
468,46.0,31113.0,3,4.0,2.0
469,41.0,48076.0,4,19.0,7.0
470,30.0,17229.0,4,6.0,8.0
471,22.0,48522.0,5,2.0,3.0
472,,40206.0,2,1.0,8.0
473,53.0,55962.0,3,21.0,2.0
474,28.0,19703.0,4,12.0,1.0
475,25.0,59766.0,2,7.0,3.0
476,,64894.0,3,15.0,5.0
477,34.0,37015.0,2,10.0,7.0
478,35.0,55696.0,3,10.0,5.0
479,43.0,49263.0,4,17.0,2.0
480,29.0,73902.0,4,15.0,1.0
481,22.0,61484.0,4,0.0,7.0
482,33.0,48929.0,3,10.0,4.0
483,36.0,24259.0,4,16.0,5.0
484,22.0,29867.0,4,12.0,3.0
485,22.0,43026.0,3,11.0,7.0
486,22.0,37461.0,3,0.0,3.0
487,45.0,40075.0,3,18.0,6.0
488,,67117.0,3,5.0,7.0
489,50.0,52860.0,4,10.0,3.0
490,24.0,65319.0,4,16.0,6.0
491,27.0,50346.0,4,18.0,7.0
492,20.0,48155.0,5,5.0,8.0
493,57.0,39776.0,3,13.0,9.0
494,,32166.0,5,7.0,6.0
495,35.0,52290.0,5,10.0,6.0
496,29.0,71161.0,4,11.0,8.0
497,37.0,49070.0,4,18.0,3.0
498,22.0,61269.0,1,7.0,5.0
499,28.0,35231.0,2,21.0,3.0
500,24.0,45143.0,4,13.0,3.0
501,18.0,49718.0,3,0.0,8.0
502,38.0,53443.0,2,10.0,1.0
503,44.0,49419.0,4,0.0,5.0
504,47.0,49714.0,3,13.0,6.0
505,54.0,46674.0,3,10.0,7.0
506,46.0,57594.0,5,10.0,8.0
507,,56124.0,4,26.0,8.0
508,,44141.0,2,7.0,3.0
509,29.0,37580.0,2,13.0,4.0
510,45.0,38578.0,4,32.0,8.0
511,32.0,75543.0,1,18.0,10.0
512,18.0,54973.0,4,12.0,3.0
513,35.0,63830.0,1,14.0,10.0
514,36.0,62367.0,3,9.0,3.0
515,21.0,51433.0,5,16.0,6.0
516,41.0,55173.0,3,2.0,2.0
517,49.0,56276.0,3,11.0,8.0
518,21.0,27426.0,3,5.0,3.0
519,44.0,56463.0,2,14.0,4.0
520,45.0,39877.0,4,20.0,3.0
521,24.0,38988.0,2,1.0,3.0
522,30.0,54327.0,4,11.0,2.0
523,22.0,91789.0,5,13.0,2.0
524,28.0,24688.0,1,6.0,10.0
525,34.0,19462.0,1,12.0,8.0
526,49.0,51548.0,4,16.0,7.0
527,27.0,20045.0,4,12.0,6.0
528,,47852.0,2,7.0,3.0
529,18.0,18705.0,3,17.0,2.0
530,27.0,56745.0,2,22.0,9.0
531,19.0,49117.0,2,12.0,9.0
532,37.0,36091.0,3,18.0,3.0
533,38.0,68230.0,1,13.0,4.0
534,18.0,52850.0,3,1.0,2.0
535,39.0,59430.0,4,16.0,
536,32.0,32394.0,4,18.0,6.0
537,32.0,55595.0,3,19.0,3.0
538,29.0,32883.0,3,10.0,3.0
539,47.0,428130.0,5,29.0,7.0
540,42.0,63878.0,4,15.0,9.0
541,37.0,52751.0,3,10.0,3.0
542,,66379.0,3,2.0,4.0
543,35.0,52389.0,1,4.0,7.0
544,37.0,47322.0,3,6.0,3.0
545,41.0,52299.0,2,1.0,4.0
546,32.0,23067.0,2,22.0,2.0
547,21.0,43365.0,1,16.0,6.0
548,56.0,53378.0,2,0.0,10.0
549,46.0,38999.0,3,11.0,5.0
550,19.0,81385.0,2,12.0,8.0
551,23.0,44579.0,3,10.0,8.0
552,22.0,53783.0,3,30.0,1.0
553,18.0,79818.0,3,5.0,5.0
554,39.0,61927.0,1,22.0,2.0
555,53.0,82225.0,1,9.0,3.0
556,40.0,262080.0,3,26.0,9.0
557,54.0,27319.0,1,0.0,2.0
558,30.0,12766.0,1,12.0,9.0
559,38.0,31263.0,5,24.0,1.0
560,24.0,53229.0,3,14.0,5.0
561,35.0,64045.0,2,2.0,6.0
562,48.0,64978.0,4,0.0,1.0
563,44.0,29988.0,3,5.0,9.0
564,47.0,39788.0,5,2.0,6.0
565,30.0,56732.0,2,0.0,6.0
566,46.0,16644.0,2,22.0,7.0
567,,36334.0,5,10.0,3.0
568,42.0,53272.0,5,4.0,
569,18.0,52446.0,5,2.0,
570,38.0,63858.0,5,0.0,8.0
571,38.0,51333.0,1,14.0,8.0
572,27.0,44982.0,4,12.0,7.0
573,23.0,36212.0,1,4.0,5.0
574,25.0,54366.0,3,22.0,2.0
575,49.0,45458.0,3,4.0,6.0
576,37.0,61304.0,2,5.0,1.0
577,55.0,29346.0,4,11.0,
578,,76667.0,2,2.0,6.0
579,40.0,39127.0,3,13.0,4.0
580,54.0,43715.0,3,0.0,7.0
581,57.0,60581.0,4,4.0,4.0
582,29.0,59532.0,3,21.0,6.0
583,54.0,57934.0,2,11.0,4.0
584,48.0,40710.0,3,13.0,8.0
585,49.0,17418.0,2,6.0,4.0
586,38.0,47164.0,3,16.0,2.0
587,47.0,60408.0,4,9.0,2.0
588,46.0,56399.0,4,3.0,9.0
589,28.0,64100.0,4,21.0,9.0
590,18.0,44256.0,5,12.0,4.0
591,49.0,37946.0,4,18.0,5.0
592,,31757.0,3,8.0,8.0
593,44.0,58480.0,3,4.0,5.0
594,30.0,53207.0,3,13.0,5.0
595,30.0,49065.0,3,13.0,5.0
596,18.0,48732.0,3,14.0,6.0
597,55.0,45628.0,4,15.0,4.0
598,,43752.0,3,5.0,3.0
599,45.0,59854.0,5,24.0,5.0
600,31.0,38232.0,5,15.0,9.0
601,18.0,72745.0,3,16.0,9.0
602,45.0,72696.0,2,0.0,3.0
603,50.0,75791.0,3,0.0,7.0
604,58.0,68533.0,2,3.0,3.0
605,34.0,41248.0,2,0.0,5.0
606,29.0,64074.0,4,8.0,8.0
607,37.0,48408.0,5,13.0,3.0
608,23.0,51762.0,4,12.0,8.0
609,25.0,56965.0,2,15.0,9.0
610,43.0,46665.0,3,28.0,5.0
611,32.0,49983.0,5,1.0,2.0
612,29.0,61084.0,2,4.0,9.0
613,40.0,64240.0,2,18.0,2.0
614,31.0,61849.0,5,6.0,7.0
615,64.0,88045.0,4,1.0,8.0
616,32.0,81939.0,4,4.0,8.0
617,54.0,51511.0,3,12.0,8.0
618,44.0,52077.0,4,11.0,2.0
619,47.0,56471.0,5,10.0,1.0
620,39.0,59749.0,4,12.0,4.0
621,33.0,74301.0,3,13.0,7.0
622,35.0,39747.0,3,1.0,9.0
623,28.0,40986.0,5,6.0,1.0
624,40.0,48409.0,4,15.0,8.0
625,47.0,95536.0,3,13.0,5.0
626,18.0,70086.0,2,1.0,7.0
627,20.0,26252.0,2,9.0,5.0
628,21.0,51940.0,1,11.0,3.0
629,43.0,22551.0,1,1.0,5.0
630,43.0,56605.0,3,0.0,2.0
631,30.0,236475.0,3,3.0,9.0
632,53.0,70146.0,1,17.0,4.0
633,30.0,70334.0,2,0.0,9.0
634,41.0,75949.0,3,11.0,4.0
635,45.0,55782.0,5,1.0,2.0
636,33.0,60433.0,4,6.0,7.0
637,47.0,68331.0,5,25.0,6.0
638,31.0,60491.0,3,14.0,6.0
639,35.0,38688.0,3,23.0,10.0
640,36.0,36900.0,4,0.0,8.0
641,44.0,58469.0,4,10.0,4.0
642,52.0,26025.0,4,16.0,10.0
643,26.0,75699.0,3,13.0,4.0
644,18.0,36712.0,1,11.0,10.0
645,43.0,68822.0,2,4.0,6.0
646,18.0,47433.0,5,20.0,9.0
647,36.0,27491.0,2,6.0,1.0
648,42.0,54284.0,3,22.0,2.0
649,18.0,45663.0,1,11.0,9.0
650,25.0,30427.0,3,18.0,4.0
651,31.0,66579.0,3,2.0,6.0
652,34.0,51968.0,2,11.0,8.0
653,35.0,49235.0,3,16.0,4.0
654,40.0,76189.0,2,4.0,5.0
655,43.0,27953.0,2,2.0,2.0
656,18.0,73476.0,5,6.0,2.0
657,50.0,61046.0,4,6.0,8.0
658,32.0,56281.0,2,23.0,6.0
659,30.0,11934.0,1,0.0,9.0
660,48.0,57876.0,2,5.0,7.0
661,29.0,45227.0,1,21.0,6.0
662,24.0,74555.0,2,9.0,4.0
663,18.0,49088.0,3,20.0,8.0
664,50.0,28521.0,4,10.0,8.0
665,18.0,41772.0,3,7.0,3.0
666,19.0,43201.0,1,23.0,3.0
667,18.0,55604.0,5,14.0,7.0
668,30.0,45464.0,4,10.0,4.0
669,,67009.0,3,2.0,5.0
670,49.0,61478.0,3,8.0,9.0
671,27.0,41524.0,4,5.0,3.0
