"id","edad","ingreso","educacion","experiencia","satisfaccion"
308,38,51609,3,15,3
309,NA,35839,2,9,4
310,59,49994,3,11,3
311,51,70139,4,8,5
312,44,42447,5,6,8
313,14,60750,3,14,5
314,28,38755,3,11,7
315,31,42822,3,19,6
316,43,56581,5,2,7
317,34,39813,4,9,3
318,20,24456,2,9,8
319,55,68978,5,2,7
320,46,55405,3,17,3
321,38,41245,4,9,2
322,50,20089,4,0,6
323,19,78533,2,6,2
324,43,100856,2,2,4
325,29,53112,3,17,6
326,43,62747,3,28,2
327,34,68368,4,5,7
328,43,39473,4,9,5
329,51,44732,2,12,9
330,35,24093,4,29,4
331,47,38951,4,-6,8
332,21,59336,1,6,9
333,26,45639,4,2,6
334,53,46787,2,8,10
335,40,48312,3,8,8
336,10,22045,4,5,10
337,19,62564,2,23,2
338,33,28348,4,12,8
339,45,46871,4,27,2
340,NA,43422,3,16,3
341,42,46721,4,1,2
342,47,71899,1,5,8
343,55,41269,3,12,6
344,36,38254,4,6,8
345,34,27205,3,12,8
346,14,37915,2,15,9
347,36,32507,3,13,8
348,28,56119,2,9,8
349,23,37055,3,5,9
350,33,54561,3,1,6
351,47,47804,4,12,7
352,11,28497,4,16,3
353,30,38141,4,9,5
354,36,63277,1,15,9
355,24,317730,2,26,3
356,39,80084,4,24,8
357,40,49946,5,7,6
358,35,27563,4,14,3
359,5,38474,2,5,5
360,66,56127,5,15,8
361,33,78502,5,10,4
362,43,51650,3,12,3
363,38,67106,3,4,3
364,47,61521,4,18,4
365,45,32479,4,9,2
366,32,47433,5,7,NA
367,40,69579,5,9,2
368,24,63141,2,11,10
369,45,56957,4,21,9
370,29,57157,5,2,5
371,64,42629,3,27,6
372,15,30209,3,5,5
373,29,69431,3,11,4
374,45,28697,5,-4,NA
375,41,35917,5,5,2
376,28,59434,5,15,NA
377,NA,31067,3,14,6
378,37,41722,3,13,2
379,35,32258,2,7,4
380,NA,59310,2,-3,1
381,35,56695,4,2,5
382,37,56328,4,8,6
383,37,56637,4,14,5
384,22,58359,4,16,8
385,41,59590,4,8,8
386,NA,20470,4,9,6
387,40,47768,2,9,5
388,21,51687,4,10,8
389,NA,60870,2,21,5
390,39,32188,2,5,7
391,27,42506,5,9,10
392,9,33895,1,11,6
393,46,65859,4,1,9
394,25,69186,2,4,9
395,28,61815,3,11,6
396,53,31664,3,13,6
397,26,56779,2,18,3
398,45,67257,5,7,6
399,20,52519,5,20,9
400,31,41508,2,4,5
401,34,33708,1,-1,3
402,21,40020,1,-4,3
403,27,60723,4,18,5
404,35,43525,3,12,4
405,43,53414,4,9,8
406,15,69424,4,8,2
407,31,58675,5,21,NA
408,44,70470,2,18,5
409,29,24476,5,3,4
410,38,45790,2,0,7
411,41,50976,3,18,7
412,38,58679,4,14,3
413,43,32462,2,6,6
414,NA,62093,3,13,5
415,30,273055,3,-4,5
416,3,53957,5,5,6
417,34,57627,3,13,5
418,40,48255,3,9,1
419,41,63883,2,1,6
420,28,59723,4,17,4
421,56,47747,4,18,7
422,38,65606,2,3,4
423,37,54388,2,9,9
424,50,300155,5,15,9
425,26,41087,3,16,4
426,30,73706,1,6,9
427,64,49940,1,4,9
428,35,62718,3,12,1
429,55,48498,2,-3,2
430,18,45806,4,3,7
431,33,61767,4,15,3
432,40,26231,3,-2,3
433,NA,57175,5,2,2
434,23,55903,3,8,8
435,35,9570,3,8,7
436,22,55526,2,-2,4
437,44,17474,4,14,7
438,48,59897,3,3,8
439,8,43191,1,9,2
440,50,39576,5,9,2
441,20,49897,4,15,6
442,40,70596,3,10,9
443,43,40470,5,9,3
444,33,58372,2,22,6
445,27,55117,4,13,7
446,37,32307,3,14,1
447,40,119425,3,13,2
448,46,20111,4,14,7
449,10,58269,3,19,8
450,NA,49479,2,10,10
451,52,77759,2,12,5
452,48,58605,3,24,10
453,40,62745,1,6,2
454,44,70016,2,19,10
455,46,42489,3,6,5
456,3,57651,2,22,2
457,48,63032,2,5,5
458,29,70540,4,4,8
459,38,61440,3,17,4
460,31,56317,3,17,10
461,45,36977,3,14,2
462,NA,60943,2,12,7
463,NA,57504,3,12,4
464,NA,59514,3,24,4
465,22,56355,1,0,5
466,50,46972,5,3,8
467,44,48847,5,1,2
468,56,60310,2,17,9
469,36,52574,2,8,7
470,49,37548,5,9,3
471,59,45648,5,22,9
472,32,30213,2,6,8
473,19,35495,4,24,8
474,32,47831,4,0,3
475,32,23028,5,19,3
476,37,24672,4,12,9
477,56,66538,2,7,3
478,31,41351,4,9,7
479,39,22225,3,19,4
480,NA,48307,3,22,7
481,35,69816,3,-2,8
482,39,59934,3,34,6
483,51,56621,4,28,NA
484,36,67756,1,6,2
485,44,38427,2,10,3
486,44,60945,3,5,9
487,46,41194,4,9,2
488,28,50011,2,15,10
489,55,416085,3,11,7
490,30,64542,2,11,5
491,34,61520,3,20,2
492,52,33375,3,-5,6
493,51,38206,2,7,7
494,22,84262,3,11,5
495,25,168000,4,5,6
496,19,53217,3,17,5
497,37,63389,2,7,8
498,37,65281,2,7,3
499,39,66337,3,18,9
500,42,47553,4,16,9
501,28,37685,3,9,2
502,23,45391,4,8,7
503,47,36469,4,0,9
504,44,59406,2,5,7
505,NA,66805,3,28,8
506,34,81908,4,10,8
507,24,55492,3,16,4
508,10,184390,4,9,4
509,37,65367,5,14,5
510,34,63571,2,10,2
511,NA,46426,5,20,7
512,38,26632,3,6,10
513,NA,61420,3,-2,8
514,37,66937,2,16,2
515,28,45573,4,8,1
516,26,58044,3,20,6
517,33,45862,3,11,9
518,39,60235,3,20,9
519,23,48241,2,12,2
520,33,44830,4,8,5
521,47,51674,4,15,1
522,34,45749,5,7,10
523,27,41135,3,22,8
524,32,45261,5,11,NA
525,48,49878,3,-4,2
526,42,265560,3,7,5
527,50,72986,3,-1,5
528,37,29630,5,-5,9
529,40,47006,2,10,2
530,28,59473,4,15,7
531,42,76430,2,5,1
532,29,56390,2,1,6
533,18,49794,2,6,4
534,37,45387,1,-1,8
535,58,56215,3,15,8
536,45,64836,4,14,NA
537,49,47242,3,-1,7
538,39,52456,3,6,6
539,28,53254,2,17,3
540,33,60939,2,9,1
541,32,66671,4,10,5
542,29,54187,4,13,9
543,43,48857,4,14,5
544,21,70920,3,18,7
545,45,52468,5,15,5
546,45,73668,2,0,5
547,21,49071,3,7,4
548,43,59209,4,12,1
549,64,26809,5,9,7
550,28,48314,3,-5,6
551,45,49673,4,5,2
552,26,38625,5,17,4
553,NA,34462,3,11,7
554,38,64222,3,0,7
555,55,63712,4,12,4
556,17,30519,3,9,4
557,34,56366,2,15,4
558,29,33312,2,25,9
559,33,34234,4,-1,8
560,27,57881,3,6,2
561,25,39710,3,9,4
562,42,64902,4,-5,3
563,22,50578,4,10,NA
564,NA,58042,3,6,10
565,21,42146,3,26,2
566,36,32732,5,-10,2
567,41,63721,4,20,8
568,42,53571,1,17,2
569,31,46414,2,15,1
570,36,51039,5,11,9
571,47,69889,4,5,4
572,18,39528,1,18,5
573,26,38759,5,4,6
574,39,40706,3,15,2
575,30,26225,2,13,2
576,NA,62294,1,18,9
577,43,52886,2,6,6
578,36,53108,2,6,5
579,NA,49350,2,12,8
580,35,42348,3,12,3
581,NA,37649,3,20,1
582,34,62778,4,13,6
583,21,28607,4,11,3
584,41,56604,1,16,3
585,23,38111,1,6,10
586,32,54235,2,18,2
587,40,38890,4,3,3
588,26,42150,4,12,6
589,42,76540,2,-2,3
590,19,60024,5,12,7
591,1,17827,2,-1,3
592,41,51896,3,8,6
593,45,43223,2,-2,4
594,32,32951,5,6,6
595,41,53147,4,5,6
596,21,51949,3,14,3
597,33,45072,3,6,3
598,12,79591,3,5,9
599,49,16270,4,19,NA
600,57,62573,2,22,5
601,48,45665,2,18,8
602,35,299240,5,0,1
603,35,43190,4,19,7
604,17,41092,3,1,7
605,44,24344,4,9,8
606,32,46858,3,15,5
607,27,87181,2,9,3
608,NA,64846,2,9,7
609,31,75134,3,11,5
610,25,63724,3,13,6
611,30,67164,5,13,8
612,20,63543,3,-2,2
613,55,57131,1,9,6
614,35,41262,2,12,2
615,48,42006,1,14,6
616,4,25987,5,8,3
617,30,49913,4,5,6
618,27,63490,4,0,NA
619,20,65479,3,5,6
620,54,51427,5,9,7
621,18,41786,4,6,5
622,39,99358,4,14,10
623,45,61050,5,13,2
624,37,71309,5,-1,5
625,24,44935,5,12,6
626,46,49431,4,14,7
627,37,56729,3,8,4
628,22,75148,5,10,9
629,18,45328,3,7,9
630,60,62804,5,8,NA
631,27,18578,2,3,4
632,13,42391,2,13,6
633,NA,30620,2,1,6
634,39,66700,4,6,8
635,19,47533,5,4,1
636,12,44144,5,4,6
637,34,70536,5,7,3
638,49,66744,4,7,7
639,43,36530,3,5,3
640,29,56418,2,8,3
641,25,31573,3,-1,9
642,38,42866,3,11,5
643,37,74249,3,14,5
644,43,71752,2,1,6
645,30,66635,2,0,6
646,46,41436,3,26,7
647,25,21779,5,12,7
648,31,32365,5,10,2
649,44,64288,2,9,4
650,47,45641,1,13,8
651,12,17561,3,10,7
652,36,47297,3,6,7
653,42,71154,1,7,9
654,18,59652,5,8,6
655,41,37681,4,8,8
656,25,26811,4,5,2
657,47,37602,1,18,8
658,41,50518,3,11,8
659,44,63321,2,5,3
660,36,20901,2,14,5
661,45,65348,5,12,NA
662,52,50082,2,9,5
663,59,58547,2,13,7
664,35,25201,3,4,3
665,8,40000,4,9,3
666,35,43276,4,3,8
667,37,65658,3,2,6
668,33,65423,5,8,2
669,42,56526,3,11,10
670,47,74063,2,4,5
671,29,42269,4,9,2
672,NA,65188,2,-3,3
673,40,49461,2,7,7
674,28,39990,3,18,2
675,36,63851,4,2,2
676,11,70717,3,2,5
677,22,63174,4,8,7
678,19,42359,2,14,1
679,25,42953,2,19,2
680,27,70665,3,29,3
681,40,55292,4,16,8
682,47,62444,3,15,5
683,26,44919,3,24,2
684,23,68916,2,8,4
685,22,37869,3,9,6
686,30,59380,1,12,6
687,32,37742,5,0,9
688,41,13061,5,-3,3
689,31,29856,4,23,5
690,10,52044,4,6,5
691,34,63244,4,7,5
692,49,23730,3,3,1
693,49,31229,3,11,9
694,26,76468,4,14,8
695,16,43492,4,8,10
696,64,57586,2,10,9
697,33,42096,3,17,10
698,34,45521,4,10,4
699,40,51309,3,6,4
700,16,50164,2,10,8
701,26,47112,3,4,2
702,17,42953,5,11,6
703,27,4282,5,4,8
704,36,78030,3,20,3
705,NA,76856,2,-7,7
706,42,33484,2,13,5
707,NA,47478,3,7,9
708,24,70629,2,24,4
709,38,64974,5,8,NA
710,44,69149,1,13,1
711,48,33924,2,13,6
712,32,88659,3,12,6
713,34,32998,5,14,9
714,34,61309,4,24,7
715,52,52119,4,16,6
716,49,43944,3,11,3
717,45,44309,4,23,8
718,32,35129,4,14,4
719,39,371700,4,15,7
720,40,51343,5,19,2
721,22,53888,2,11,5
722,14,53144,4,15,2
723,43,44372,5,8,4
724,17,32990,4,11,2
725,35,53806,1,10,4
726,38,18595,5,6,5
727,42,28721,4,24,1
728,37,33854,3,6,5
729,26,33820,3,8,9
730,47,51608,5,19,3
731,56,73977,4,10,1
732,46,27270,1,18,4
733,12,56505,1,6,3
734,52,63493,2,10,5
735,34,35157,4,8,4
736,41,49208,2,3,7
737,42,62354,5,8,9
738,34,46167,1,5,5
739,34,46690,4,16,6
740,47,54616,2,8,4
741,44,49100,4,9,8
742,47,41665,4,4,2
743,64,47921,3,12,4
744,43,78243,2,-1,7
745,37,63105,4,-11,10
746,8,36281,2,23,3
747,67,31326,1,15,7
748,29,44600,3,14,2
749,63,69932,2,-6,7
750,39,54390,2,15,9
751,53,39477,2,14,8
752,34,63234,5,9,3
753,41,47999,5,16,2
754,NA,33190,5,18,6
755,33,56918,1,9,5
756,34,72862,4,24,8
757,47,56517,5,17,NA
758,33,52880,2,19,7
759,11,40156,3,8,3
760,33,58526,4,9,4
761,41,33941,3,4,6
762,42,25203,2,13,9
763,42,49350,3,12,3
764,15,49481,2,11,3
765,39,85476,3,5,6
766,47,31755,3,8,2
767,50,52564,1,24,1
768,32,62076,1,3,8
769,31,65759,4,7,NA
770,53,49839,2,0,8
771,15,38851,2,1,3
772,30,49013,2,8,8
773,40,79096,5,7,8
774,16,57241,5,6,3
775,38,19333,4,5,1
776,58,71352,3,9,4
777,35,58108,4,18,6
778,32,49496,4,7,10
779,41,49732,2,1,5
780,32,47753,2,3,5
781,45,53848,2,-4,8
782,NA,42442,4,-2,9
783,35,54155,3,5,2
784,21,36030,4,3,5
785,19,53002,5,2,4
786,NA,66603,3,24,4
787,45,57638,2,22,8
788,NA,65506,5,28,1
789,12,33637,4,15,8
790,27,50822,4,9,2
791,40,59259,3,3,7
792,24,33980,4,2,1
793,46,73487,2,7,7
794,39,34478,4,19,2
795,33,52468,1,15,1
796,45,52277,3,16,7
797,40,51825,1,9,8
798,30,46844,2,-1,8
799,38,56749,5,12,6
800,43,34533,4,8,5
801,39,30660,4,8,1
802,27,40181,4,25,3
803,45,49140,3,16,5
804,49,68851,3,8,7
805,38,73812,3,-3,8
806,37,54792,3,8,2
807,34,55724,4,17,8
808,61,46345,3,13,5
809,38,50721,5,12,3
810,33,28932,4,17,5
811,NA,54349,2,9,8
812,16,41967,3,8,10
813,34,55020,3,8,4
814,37,44810,3,15,8
815,38,40076,3,8,7
816,45,46713,1,15,3
817,33,44496,4,1,8
818,50,66419,5,1,8
819,24,53138,2,11,7
820,20,56487,3,15,3
821,20,31387,3,7,3
822,44,72452,4,6,5
823,34,52391,3,-10,8
824,44,37156,5,13,8
825,32,54636,4,4,9
826,28,63057,4,13,1
827,31,29245,1,20,3
828,13,75352,3,7,7
829,21,47630,3,15,5
830,18,66818,2,9,4
831,48,51084,3,13,9
832,28,45014,3,2,3
833,44,22476,3,13,3
834,53,33497,3,19,1
835,33,49380,2,23,1
836,NA,62418,3,2,6
837,14,21775,2,14,4
838,25,70632,2,6,3
839,36,70985,4,14,9
840,39,32850,2,9,10
841,26,57085,3,8,2
842,67,34495,2,15,7
843,29,48122,3,15,5
844,36,63930,3,12,3
845,43,63025,3,13,8
846,35,37262,2,13,7
847,27,44200,4,12,6
848,48,35358,2,11,6
849,54,55093,1,16,7
850,35,26614,4,15,9
851,42,10560,3,16,10
852,34,72047,2,18,9
853,47,84102,4,14,8
854,21,43174,3,9,2
855,63,61417,3,2,8
856,28,49887,3,7,7
857,17,72115,3,4,7
858,31,58312,2,8,3
859,37,53055,2,6,2
860,54,23013,4,9,6
861,46,66244,3,3,8
862,37,44737,5,6,9
863,18,144740,1,12,7
864,25,46973,3,11,9
865,33,48098,4,7,NA
866,66,65888,5,17,2
867,13,32489,4,-1,6
868,49,41635,3,13,3
869,29,72322,4,21,2
870,55,70380,3,7,1
871,21,67448,1,13,6
872,37,74923,2,6,8
873,22,53060,2,10,9
874,46,41272,3,16,8
875,53,58328,4,4,3
876,58,65881,4,6,8
877,NA,86204,3,14,1
878,57,20525,3,13,7
879,50,54099,3,16,10
880,33,59822,4,19,7
881,41,49181,3,15,4
882,23,26633,4,2,4
883,33,61123,5,11,9
884,50,38314,4,7,3
885,41,57588,4,10,8
886,40,63613,3,16,4
887,23,69259,3,12,10
888,28,26632,3,11,10
889,26,66226,5,9,5
890,40,38645,1,13,7
891,23,30665,1,2,4
892,42,69715,3,7,4
893,22,67194,3,21,10
894,57,46361,4,14,7
895,41,61393,4,3,10
896,NA,37095,2,1,4
897,38,47735,2,3,7
898,31,48594,3,14,9
899,39,45789,4,13,6
900,38,61011,3,6,8
901,23,73060,2,7,8
902,26,43163,1,17,1
903,39,49510,1,8,3
904,55,74551,1,10,4
905,48,45064,4,12,7
906,28,10939,4,9,2
907,45,57710,4,5,2
908,34,36703,1,7,6
909,39,35022,2,2,4
910,38,356560,4,13,5
911,66,86720,4,19,8
912,21,34403,2,12,8
913,36,65465,2,16,3
914,14,48588,4,5,2
915,NA,52127,4,9,8
916,48,68334,4,9,2
917,52,53205,2,0,7
918,12,37230,2,11,5
919,40,42944,3,13,9
920,54,60292,4,15,1
921,30,74805,4,19,NA
922,32,66429,3,0,8
923,35,26493,4,14,4
924,39,50329,3,15,4
925,43,47145,3,9,7
926,51,69396,5,14,2
927,34,52833,4,0,9
928,37,51529,3,12,4
929,65,60472,2,-12,6
930,40,37595,5,12,8
931,37,47062,4,21,3
932,NA,67664,4,21,9
933,35,60252,5,-9,2
934,32,30868,5,14,9
935,35,59569,5,8,9
936,28,29336,4,10,7
937,27,41025,5,-6,10
938,26,68164,3,13,7
939,32,16234,4,6,2
940,51,23315,4,13,7
941,48,69521,3,9,6
942,31,37778,3,3,10
943,15,68656,4,12,2
944,25,47476,3,14,2
945,30,56417,5,10,6
946,36,62199,2,14,7
947,27,40232,4,7,4
948,59,45431,4,19,4
949,32,43774,3,7,5
950,20,92241,5,6,9
951,33,51892,2,17,10
952,NA,57092,3,18,10
953,37,44889,2,15,2
954,38,46373,2,12,1
955,39,70681,4,21,7
956,16,44917,2,3,1
957,38,50302,2,18,10
958,39,55654,3,22,4
959,18,43524,1,10,3
960,46,79386,3,14,5
961,44,28573,1,14,3
962,NA,80169,5,18,3
963,37,44726,4,4,6
964,36,70357,4,16,4
965,36,20012,4,-2,9
966,36,64341,2,25,3
967,13,63146,3,6,4
968,15,30932,4,8,10
969,34,38475,3,12,2
970,28,52903,3,1,3
971,36,67158,1,8,6
972,10,38510,4,10,5
973,17,46638,1,8,1
974,NA,73570,5,24,5
975,47,33090,4,-3,2
976,22,64217,5,9,9
977,25,56732,3,18,9
978,36,33413,5,4,4
979,31,39982,3,9,7
980,37,61749,3,24,2
981,63,53734,1,-3,1
982,22,71376,3,4,9
983,31,40973,4,2,8
984,29,24283,2,14,9
985,53,65717,3,4,1
986,26,40871,4,13,1
987,NA,51805,5,5,4
988,44,75786,4,9,NA
989,22,46244,3,16,7
990,55,73243,4,11,5
991,43,33543,5,-4,NA
992,22,63883,3,6,5
993,40,53702,1,15,9
994,32,38948,2,23,4
995,NA,30800,4,2,9
996,34,51150,3,8,3
997,48,53827,1,9,3
998,19,54162,3,5,9
999,29,58053,2,0,9
1000,32,43093,3,23,4
